"name","metric","bio1","bio2","bio3","bio4","bio5","bio6","bio7","bio8","bio9","bio10","bio11","bio12","bio13","bio14","bio15","bio16","bio17","bio18","bio19","cmi_max","cmi_mean","cmi_min","cmi_range","fgd","gdd0","gddlgd0","gdgfgd0","gsl","gsp","gst","ngd0","longitude","latitude"
"Abietinella abietina","mean",6.39,7.2,0.261,744.8,21.08,-6.99,28.1,11.87,1.54,16.09,-3.01,879.7,106.3,46.8,27.7,294,155.2,261.9,187.8,60.4,8.9,-52.1,112.5,123,2810.2,311,81,239,1206894.6,11.11,279,7.881,53.371
"Abietinella abietina","median",6.65000000000003,7.3,0.252999997138977,718.5,21.45,-6.14999999999998,27.7,13.2500000000001,0.850000000000023,16.15,-2.24999999999994,766.7,94.6,40.2,27.1,260.4,135.5,238.8,159.8,50.5,2.6,-55.9,103.8,122,2711.8,321,80,215,534.2,11.2500000000001,267,10.4566,51.2558
"Abietinella abietina","Q05",-0.749999999999943,3.9,0.151999998092651,536.58,15.05,-17.95,20.3,2.85000000000002,-10.11,10.19,-13.15,525.64,66.5,19.2,11.1,185.04,65.34,164.94,75.78,16.9,-23.5,-93.4,65.9,59,1273.18,266,45,109,320.04,8.35000000000002,175,-87.25324,43.97868
"Abietinella abietina","Q95",11.2500000000001,10,0.352999997138977,1117.74,25.35,0.950000000000045,38.7,18.45,16.05,19.95,4.25000000000006,1609.18,189.5,95.36,49.8,523.1,311.98,438.16,392.599999999999,134.94,68.16,3,185.4,189,4120.34,352,122,365,1172.12,13.85,365,45.6203199999999,63.43278
"Abietinella abietina","range",12,6.1,0.200999999046326,581.16,10.3,18.9,18.4,15.6,26.16,9.76,17.4,1083.54,123,76.16,38.7,338.06,246.64,273.22,316.819999999999,118.04,91.66,96.4,119.5,130,2847.16,86,77,256,852.08,5.5,190,132.87356,19.4541
"Abietinella abietina","optimum",6.41,6.9,0.323,723.5,21.28,-5.5,28.3,15.72,0.41,15.82,-2.21,666,83.8,31.8,29.3,232,102.3,229.2,125.8,41.9,-1.4,-62.1,99.2,118,2540.5,332,76,364,-118,11.44,365,5.38,48.412
"Acaena novae-zelandiae","mean",11.92,8.2,0.412,393,22.98,3.36,19.6,9.95,14.66,16.99,6.9,925.9,106.6,49.3,24,302.4,163.9,192.4,278.1,57.6,-15.3,-98.9,156.5,55,4343.8,163,234,333,901.4,11.63,363,138.695,-31.921
"Acaena novae-zelandiae","median",12.35,8.8,0.425,383.5,23.7500000000001,3.45000000000005,20,9.55000000000001,16.2500000000001,17.2500000000001,7.15000000000003,829.2,96.7,47,21.2,275.8,154.3,185.3,250.1,48.7,-23.8,-102.1,156.8,39,4479.6,163,234,350,815.9,11.7500000000001,365,145.7799,-37.4036
"Acaena novae-zelandiae","Q05",7.55000000000001,3.7,0.319000005722046,249.79,17.15,-2.04999999999995,11.6,2.25000000000006,6.45000000000005,12.95,1.75000000000006,615.15,67,21.6,13,187.3,77.9,84.7,151,9,-50.2,-153.21,89.4,4,2739,139.4,209,251,606.56,8.25000000000006,365,-1.01806,-43.17635
"Acaena novae-zelandiae","Q95",14.65,10.5,0.457999992370606,524.7,26.95,8.75000000000006,24.7,18.65,18.95,20.05,10.95,1541.94,178,84.2,52.2,508.99,270.96,336.03,500.52,137.12,46,-35.6,226.01,250,5344.74,186,259,365,1441.52,14.2500000000001,365,172.56225,50.92861
